Word,Definition,Synonyms,Antonyms
abandon,,"leave, desert","keep, continue"
abash,,"embarrass, disconcert","encourage, reassure"
abbreviate,,"shorten, cut, reduce","lengthen, extend"
abhor,,"hate, detest","love, admire"
absolve,,"forgive, pardon","blame, punish"
absurd,,"ridiculous, silly","sensible, reasonable"
abundant,,"plentiful, ample","scarce, limited"
abundant,,"plentiful, ample","scarce, lacking"
acclaim,,"praise, applaud","criticize, condemn"
accomplish,,"achieve, complete","fail, abandon"
acquire,,"gain, obtain","lose, forfeit"
active,,"energetic, lively","inactive, lazy"
acute,,"sharp, severe","dull, mild"
adept,,"skilful, expert","inept, clumsy"
adhere,,"stick, cling","separate, detach"
adjacent,,"near, adjoining","far, distant"
admire,,"respect, appreciate","despise, dislike"
adorn,,"decorate, beautify","deface, spoil"
adverse,,"unfavourable, harmful","favourable, beneficial"
advocate,,"support, recommend","oppose, reject"
affable,,"friendly, pleasant","unfriendly, rude"
afflict,,"trouble, distress","comfort, soothe"
affluent,,"wealthy, rich","poor, needy"
aggravate,,"worsen, intensify","alleviate, improve"
agile,,"nimble, quick","clumsy, slow"
agitate,,"disturb, upset","calm, soothe"
aid,,"help, assist","hinder, obstruct"
alert,,"attentive, watchful","careless, inattentive"
alert,,"watchful, vigilant","careless, inattentive"
alien,,"foreign, strange","native, familiar"
alienate,,"isolate, estrange","include, unite"
allay,,"calm, lessen","intensify, worsen"
allege,,"claim, assert","deny, refute"
alleviate,,"ease, relieve","aggravate, worsen"
allocate,,"assign, distribute","withhold, retain"
allude,,"refer, hint","declare, state"
allure,,"charm, attract","repel, disgust"
alter,,"change, modify","preserve, keep"
amass,,"collect, gather","disperse, scatter"
amiable,,"friendly, kind","hostile, unfriendly"
ample,,"plentiful, abundant","scarce, lacking"
amplify,,"increase, enlarge","reduce, diminish"
ancient,,"old, antique","modern, new"
anguish,,"suffering, pain","comfort, relief"
animate,,"enliven, inspire","deaden, bore"
annihilate,,"destroy, ruin","create, build"
antagonist,,"enemy, opponent","ally, friend"
antidote,,"cure, remedy","poison, toxin"
antique,,"ancient, old","modern, new"
apathy,,"indifference, unconcern","enthusiasm, interest"
appease,,"calm, pacify","anger, provoke"
applaud,,"praise, commend","boo, criticize"
apprehend,,"arrest, capture","release, free"
approach,,"advance, near","retreat, withdraw"
appropriate,,"suitable, fitting","unsuitable, improper"
ardent,,"passionate, eager","indifferent, apathetic"
arduous,,"difficult, hard","easy, simple"
arid,,"dry, barren","fertile, moist"
arrogant,,"proud, conceited","humble, modest"
articulate,,"expressive, fluent","inarticulate, unclear"
artificial,,"man-made, fake","natural, genuine"
ascend,,"rise, climb","descend, fall"
ascend,,"rise, climb","descend, fall"
aspire,,"desire, aim","neglect, avoid"
aspire,,"desire, aim","avoid, dislike"
assent,,"agree, consent","disagree, refuse"
assert,,"declare, state","deny, refute"
astonish,,"amaze, surprise","bore, dull"
astonish,,"amaze, surprise","bore, calm"
astute,,"clever, shrewd","stupid, foolish"
atrocious,,"terrible, dreadful","pleasant, delightful"
attain,,"achieve, reach","fail, lose"
attain,,"achieve, accomplish","fail, lose"
audacious,,"bold, daring","timid, cowardly"
audible,,"hearable, clear","silent, inaudible"
augment,,"increase, enlarge","reduce, decrease"
austere,,"severe, strict","gentle, lenient"
authentic,,"genuine, real","fake, false"
authentic,,"genuine, real","fake, false"
avarice,,"greed, cupidity","generosity, charity"
avaricious,,"greedy, grasping","generous, charitable"
averse,,"unwilling, opposed","willing, inclined"
avert,,"avoid, prevent","encourage, permit"
avid,,"keen, eager","apathetic, indifferent"
avid,,"enthusiastic, eager","indifferent, apathetic"
awesome,,"amazing, wonderful","awful, dreadful"
awful,,"terrible, dreadful","wonderful, pleasant"
awkward,,"clumsy, ungraceful","graceful, elegant"
baffle,,"confuse, puzzle","clarify, explain"
banal,,"common, ordinary","original, unusual"
banish,,"expel, exile","welcome, accept"
banish,,"expel, exile","welcome, accept"
barbaric,,"savage, cruel","civilized, cultured"
barbarous,,"savage, cruel","civilized, kind"
barren,,"infertile, unproductive","fertile, fruitful"
bashful,,"shy, timid","confident, bold"
bashful,,"shy, timid","confident, bold"
bask,,"revel, enjoy","suffer, dislike"
beguile,,"deceive, trick","honest, truthful"
belated,,"late, overdue","early, prompt"
belittle,,"undervalue, criticize","praise, magnify"
beloved,,"dear, cherished","hated, unloved"
beneath,,"under, below","above, over"
beneficial,,"helpful, useful","harmful, detrimental"
benevolent,,"kind, charitable","malevolent, cruel"
benevolent,,"kind, charitable","malevolent, cruel"
benign,,"harmless, gentle","harmful, malignant"
berate,,"scold, rebuke","praise, compliment"
bestow,,"grant, give","withhold, take"
betray,,"deceive, cheat","support, protect"
bewilder,,"confuse, puzzle","clarify, explain"
bias,,"prejudice, partiality","fairness, neutrality"
bias,,"prejudice, partiality","fairness, neutrality"
bigot,,"fanatic, extremist","open-minded, tolerant"
bilateral,,"two-sided, mutual","unilateral, one-sided"
bizarre,,"strange, odd","normal, ordinary"
blame,,"accuse, criticise","praise, commend"
bland,,"dull, tasteless","flavourful, interesting"
blaze,,"flame, fire","extinguish, darken"
blend,,"mix, combine","separate, divide"
bless,,"sanctify, praise","curse, condemn"
bliss,,"happiness, joy","misery, sorrow"
bliss,,"joy, happiness","sorrow, misery"
blunt,,"dull, frank","sharp, subtle"
boast,,"brag, vaunt","humble, downplay"
boast,,"brag, bragging","humble, modesty"
bold,,"brave, daring","timid, cowardly"
bold,,"brave, daring","cowardly, timid"
bond,,"connection, tie","separation, break"
bond,,"connection, tie","separation, break"
brave,,"courageous, bold","cowardly, timid"
brief,,"short, concise","long, lengthy"
brisk,,"quick, energetic","slow, sluggish"
brutal,,"cruel, harsh","gentle, kind"
burden,,"load, weight","relief, ease"
burly,,"strong, sturdy","weak, frail"
busy,,"occupied, engaged","idle, inactive"
Cacophony,,"clamor, blare, blaring, din",
calamity,,"disaster, catastrophe","blessing, fortune"
Calamity,,"cataclysm, catastrophe, disaster, tragedy",
calculate,,"compute, reckon","guess, estimate"
Callow,,"naive, immature, inexperienced, unsophisticated",
calm,,"peaceful, tranquil","agitated, excited"
calm,,"peaceful, tranquil","agitated, restless"
candid,,"honest, frank","deceitful, dishonest"
candid,,"honest, frank","dishonest, insincere"
Candid,,"ingenuous, forthright, blunt, direct, open, artless, natural, outspoken, point-blank, uncontrived, unflattering, plainspoken",
capable,,"able, competent","incapable, inept"
capacity,,"ability, volume","inability, weakness"
captive,,"prisoner, confined","free, liberated"
captive,,"prisoner, confined","free, liberated"
caress,,"stroke, fondle","ignore, neglect"
cease,,"stop, end","continue, persist"
cease,,"stop, halt","continue, persist"
censure,,"criticize, blame","praise, commend"
certain,,"sure, definite","uncertain, doubtful"
chaos,,"disorder, confusion","order, harmony"
Chaos,,"pandemonium, topsy-turvydom, topsy-turvyness, bedlam",
chaotic,,"disorderly, confused","orderly, organized"
charm,,"attraction, appeal","repel, disgust"
Chastised,,"disciplined, punished, corrected",
Chauvinist,,"jingoist, jingo, flag-waver, hundred-percenter",
cheerful,,"happy, joyful","sad, gloomy"
cherish,,"treasure, value","neglect, abandon"
Cherished,,"treasured, wanted, loved, held dear, unforsaken, precious",
Chicanery,,"trickery, shenanigan, guile, wile",
chide,,"scold, rebuke","praise, commend"
chief,,"leader, head","follower, subordinate"
chilly,,"cold, frosty","warm, hot"
chivalrous,,"gallant, courteous","rude, discourteous"
circumvent,,"avoid, bypass","face, confront"
civil,,"polite, courteous","rude, impolite"
clarify,,"explain, simplify","confuse, complicate"
clarify,,"explain, elucidate","confuse, complicate"
classic,,"traditional, timeless","modern, new"
cleanse,,"purify, wash","dirty, pollute"
Clement,,"balmy, lenient, mild",inclement
clever,,"intelligent, bright","foolish, dull"
clever,,"intelligent, smart","stupid, foolish"
cling,,"stick, hold","release, let go"
cling,,"hold, grasp","release, let go"
clumsy,,"awkward, ungraceful","graceful, skillful"
coarse,,"rough, crude","smooth, fine"
coarse,,"rough, crude","smooth, fine"
Coarse,,"crude, vulgar, common, open, inferior, uncouth, unrefined, loose, gross, gritty, indecent, earthy",fine
coerce,,"force, compel","persuade, convince"
Coercion,,compulsion,
coherent,,"logical, consistent","illogical, inconsistent"
cohesive,,"united, connected","divided, disconnected"
collapse,,"fall, crumble","rise, build"
collapse,,"fall, crumble","stand, rise"
collect,,"gather, assemble","scatter, disperse"
Colloquial,,"informal, conversational",
Combat,,"battle, fight, fighting, armed combat",
combine,,"merge, unite","separate, divide"
comedy,,"humour, farce","tragedy, drama"
comfort,,"ease, console","distress, upset"
commend,,"praise, applaud","criticize, blame"
commend,,"praise, applaud","criticize, blame"
commendable,,"admirable, praiseworthy","shameful, disgraceful"
common,,"ordinary, usual","rare, unusual"
Commotion,,"turmoil, tumult, stir, whirl, disruption, ruckus, disturbance, rumpus, ruction, hurly burly, to-do, din",
companion,,"friend, partner","enemy, foe"
compassion,,"sympathy, pity","cruelty, indifference"
compel,,"force, drive","dissuade, hinder"
Compelling,,"powerful, persuasive","admit, let in, allow in"
competent,,"able, capable","incompetent, incapable"
Complacent,,"self-satisfied, contented",
complete,,"finish, accomplish","incomplete, unfinished"
complex,,"complicated, intricate","simple, easy"
Complicity,,,
compose,,"create, form","destroy, ruin"
comprehend,,"understand, grasp","misunderstand, confuse"
conceal,,"hide, cover","reveal, expose"
conceal,,"hide, cover","reveal, expose"
Conceited,,"proud, egotistical, self-conceited, swollen, egotistic, swollen-headed, vain",
Conceivable,,"possible, imaginable, thinkable",
Concerted,,"joint, cooperative, conjunct, combined, conjunctive, united",
concise,,"brief, short","long, wordy"
concise,,"brief, short","lengthy, wordy"
Conducive,,,
confess,,"admit, acknowledge","deny, conceal"
confident,,"assured, bold","shy, uncertain"
confident,,"assured, certain","uncertain, shy"
confine,,"restrict, limit","free, release"
Confine,,"hold, restrain, throttle, limit, detain, circumscribe, enclose, restrict, hold in, bound, trammel","free, release, loose, liberate, unloose"
confirm,,"verify, validate","deny, refute"
Confiscate,,"seize, lost, forfeit, condemned, sequester, seized, appropriated, taken, attach, impound, forfeited, confiscated",
Confiscated,,"condemned, seized, appropriated, confiscate, taken, taken over",
conflict,,"fight, battle","peace, harmony"
confuse,,"perplex, puzzle","clarify, explain"
conquer,,"defeat, overcome","surrender, yield"
conquer,,"defeat, overcome","surrender, yield"
consider,,"think, ponder","ignore, neglect"
considerate,,"thoughtful, kind","selfish, inconsiderate"
console,,"comfort, soothe","distress, upset"
Conspicuous,,"salient, ostentatious, flagrant, egregious, prominent, pretentious, blatant, obvious, open, obtrusive, bold, large","inconspicuous, invisible"
constant,,"steady, continuous","changing, variable"
consume,,"eat, devour","preserve, save"
contain,,"hold, include","release, exclude"
Contemplate,,"ruminate, speculate, study, mull, reflect, mull over, meditate, chew over, think over, muse, ponder",
content,,"satisfied, pleased","dissatisfied, unhappy"
content,,"satisfied, pleased","dissatisfied, unhappy"
Contented,,"content, complacent, easygoing, smug, happy, satisfied, self-satisfied, at peace, placid",discontented
continue,,"persist, proceed","stop, cease"
contradict,,"oppose, deny","agree, confirm"
contradict,,"oppose, deny","agree, confirm"
contrast,,"difference, opposition","similarity, resemblance"
contribute,,"give, donate","withhold, take"
control,,"manage, direct","mismanage, lose"
convenient,,"suitable, handy","inconvenient, unsuitable"
converse,,"talk, chat","silence, quiet"
convert,,"change, transform","preserve, keep"
convey,,"communicate, express","withhold, conceal"
convict,,"criminal, prisoner","innocent, acquit"
convince,,"persuade, assure","dissuade, discourage"
Convoluted,,,
cooperate,,"help, assist","oppose, hinder"
cope,,"manage, handle","fail, give up"
cordial,,"friendly, warm","unfriendly, cold"
corpulent,,"fat, obese","slim, thin"
correct,,"right, accurate","wrong, incorrect"
Corrosive,,"caustic, vitriolic, destructive, erosive",
corrupt,,"dishonest, immoral","honest, upright"
costly,,"expensive, dear","cheap, inexpensive"
courage,,"bravery, valour","cowardice, fear"
courteous,,"polite, respectful","rude, impolite"
courteous,,"polite, respectful","rude, impolite"
covet,,"desire, crave","dislike, reject"
cowardly,,"fearful, timid","brave, bold"
cozy,,"comfortable, snug","uncomfortable, harsh"
cozy,,"comfortable, snug","uncomfortable, harsh"
crave,,"desire, long","dislike, reject"
crave,,"desire, long","reject, dislike"
create,,"produce, generate","destroy, ruin"
Credibility,,"believability, credibleness","incredibility, incredibleness"
credible,,"believable, plausible","unbelievable, false"
creep,,"crawl, sneak","run, rush"
crimson,,"red, scarlet","pale, colorless"
crimson,,"red, scarlet","pale, colourless"
criticize,,"condemn, blame","praise, commend"
Croak,,"grumble, murmur, gnarl, choke, conk, pop off, cronk, croaking, snuff it, kick the bucket, drop dead, buy the farm",
crude,,"raw, rough","refined, polished"
cruel,,"harsh, brutal","kind, compassionate"
cruel,,"harsh, brutal","kind, gentle"
crush,,"smash, squash","build, construct"
cryptic,,"mysterious, obscure","clear, obvious"
Culpable,,"guilty, blameworthy, censurable, blameful, blamable, blameable",
cunning,,"clever, sly","honest, naive"
cunning,,"sly, crafty","honest, naive"
Curate,,"minister, rector, pastor, parson",
curious,,"inquisitive, interested","indifferent, uninterested"
curious,,"inquisitive, interested","indifferent, uninterested"
curse,,"swear, damn","bless, praise"
Cursory,,"perfunctory, casual, careless, passing",
curtail,,"reduce, diminish","increase, enlarge"
Curtail,,"curb, clip, restrict, cut back, cut short",
custom,,"tradition, habit","novelty, innovation"
Customary,,"conventional, habitual, accustomed, usual, wonted",
dainty,,"delicate, fine","clumsy, coarse"
Dale,,,
damage,,"harm, injure","repair, fix"
damp,,"moist, wet","dry, arid"
danger,,"risk, hazard","safety, security"
daring,,"brave, bold","fearful, cowardly"
daring,,"bold, brave","cowardly, timid"
dark,,"dim, gloomy","bright, light"
Darn,,"damn, hoot, shucks",
dazzle,,"impress, amaze","bore, tire"
dearth,,"scarcity, lack","abundance, plenty"
dearth,,"scarcity, lack","abundance, plenty"
debatable,,"arguable, questionable","certain, definite"
decay,,"rot, decompose","grow, develop"
deceit,,"dishonesty, fraud","honesty, truth"
deceive,,"mislead, trick","honest, truthful"
decent,,"respectable, proper","improper, indecent"
decent,,"proper, respectable","improper, indecent"
decrease,,"lessen, reduce","increase, expand"
Decree,,"order, rule, edict, rescript, fiat",
dedicate,,"devote, commit","neglect, abandon"
defeat,,"conquer, overcome","surrender, lose"
defend,,"protect, guard","attack, endanger"
defiant,,"rebellious, disobedient","obedient, compliant"
defiant,,"rebellious, disobedient","obedient, compliant"
deficient,,"lacking, incomplete","sufficient, complete"
define,,"describe, explain","confuse, obscure"
deflate,,"shrink, collapse","expand, inflate"
Defy,,"hold, refuse, resist, withstand, hold up, dare","apply, lend oneself"
Deject,,"dismay, depress, demoralize, dispirit, get down, cast down","elate, uplift, lift up, intoxicate, pick up"
Delectable,,"luscious, tasteful, toothsome, scrumptious, desirable, delicious, yummy, sexually attractive, pleasant-tasting",
deliberate,,"intentional, planned","accidental, unplanned"
deliberate,,"intentional, planned","accidental, chance"
delicate,,"fragile, fine","strong, sturdy"
delicious,,"tasty, delightful","horrible, unpleasant"
delight,,"joy, pleasure","misery, sorrow"
delighted,,"pleased, joyful","disappointed, unhappy"
Delude,,"deceive, lead on, cozen",
Deluge,,"torrent, downpour, flood, swamp, submerge, inundate, overwhelm, cloudburst, waterspout, soaker, flood out, inundation",
demand,,"require, request","offer, supply"
demand,,"request, require","offer, supply"
demolish,,"destroy, ruin","build, construct"
Demote,,"break, relegate, kick downstairs, bump","advance, promote, elevate, raise, upgrade, kick upstairs"
Demotion,,,promotion
Demure,,"modest, coy, overmodest",
dense,,"thick, crowded","sparse, thin"
dense,,"thick, crowded","sparse, thin"
depart,,"leave, exit","arrive, enter"
depart,,"leave, exit","arrive, enter"
dependable,,"trustworthy, reliable","unreliable, untrustworthy"
depict,,"portray, describe","conceal, hide"
deplete,,"use up, exhaust","fill, replenish"
deplore,,"regret, condemn","praise, admire"
Deploy,,,
deposit,,"place, store","withdraw, remove"
depress,,"sadden, dishearten","encourage, uplift"
depress,,"sadden, discourage","encourage, uplift"
deprive,,"deny, strip","give, provide"
Deral,,,
Deranged,,"insane, crazed, half-crazed",
deride,,"mock, ridicule","praise, admire"
Deride,,,
Derision,,ridicule,
Derisive,,"jeering, taunting, mocking, gibelike, disrespectful",
Derivative,,"derived, inflected, differential, first derivative, differential coefficient, derived function, derivative instrument",primitive
descend,,"fall, drop","ascend, rise"
desert,,"abandon, leave","keep, remain"
despair,,"hopelessness, misery","hope, joy"
despise,,"hate, detest","love, admire"
Despised,,"scorned, detested, unloved, hated",
Despondent,,"hopeless, heartsick",
destitute,,"poor, needy","rich, wealthy"
destitute,,"poor, needy","rich, wealthy"
Destitute,,"impoverished, indigent, needy, poor, necessitous, poverty-stricken",
detach,,"separate, remove","attach, join"
Detain,,"stay, confine, hold up, delay","free, rush, release, loose, hurry, liberate, unloose"
deter,,"discourage, hinder","encourage, assist"
